X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
-71.144066,42.660992,WHOLE FOODS MARKET 10371,40 Railroad St,,Andover,MA,01810,3554,ESSEX,-71.144066,42.660992,65677
-70.48777,41.613194,Roche Bros Supermarkets Inc 117,11 Commercial St,,Mashpee,MA,02649,3481,BARNSTABLE,-70.48777,41.613194,65811
-71.14238,42.343372,Babushka Deli,62 Washington St,,Brighton,MA,02135,7429,SUFFOLK,-71.14238,42.343372,66067
-72.2061,42.215546,Alltown Market Warren 10024,1300 Main St,,Warren,MA,01083,,WORCESTER,-72.2061,42.215546,66094
-71.146759,42.341309,Chansky's Super Market,1700 Commonwealth Ave,,Brighton,MA,02135,5602,SUFFOLK,-71.146759,42.341309,66159
-71.142952,42.344242,LEE'S SUPERMARKET,1591 Commonwealth Ave,,Brighton,MA,02135,4443,SUFFOLK,-71.142952,42.344242,66164
-71.323662,42.415176,DONELAN'S OF LINCOLN,145 Lincoln Rd,,Lincoln,MA,01773,3840,MIDDLESEX,-71.323662,42.415176,66221
-70.641647,41.755745,7-Eleven 32564B 32564,3106 Cranberry Hwy,,East Wareham,MA,02538,4843,PLYMOUTH,-70.641647,41.755745,66315
-70.346947,41.657116,Centerville Food Shop,1638 Falmouth Rd,,Centerville,MA,02632,2948,BARNSTABLE,-70.346947,41.657116,66498
-71.071175,42.423599,Stop & Shop 62,99 Charles St,,Malden,MA,02148,6700,MIDDLESEX,-71.071175,42.423599,66572
-71.261147,42.485748,Stop & Shop 88,337 Great Rd,,Bedford,MA,01730,2802,MIDDLESEX,-71.261147,42.485748,66751
-71.063988,42.37495,7-Eleven 37362H,140 Main St,,Charlestown,MA,02129,3509,SUFFOLK,-71.063988,42.37495,66789
-71.056778,42.373562,7-Eleven 37422H,1 1st Ave,Ste 34,Charlestown,MA,02129,4504,SUFFOLK,-71.056778,42.373562,66860
-71.853432,42.277363,CVS PHARMACY  1035,638 Chandler St,,Worcester,MA,01602,1770,WORCESTER,-71.853432,42.277363,66927
-70.646774,42.091366,BRANT ROCK MARKET,33 Dyke Rd,,Brant Rock,MA,02020,9800,PLYMOUTH,-70.646774,42.091366,66996
-70.83654,41.347015,The Gay Head Store. Llc,33 Aquinnah Cir,,Aquinnah,MA,02535,1301,DUKES,-70.83654,41.347015,67365
-71.154114,42.342121,Cumberland Farms 3524,148 Chestnut Hill Ave,,Brighton,MA,02135,4641,SUFFOLK,-71.154114,42.342121,67597
-71.150246,42.354256,Y&k Mini Market,248 Market St,,Brighton,MA,02135,2249,SUFFOLK,-71.150246,42.354256,67688
-71.148743,42.33651,Boston Convenience Ii,1912 Beacon St,1912-1914,Brighton,MA,02135,7701,SUFFOLK,-71.148743,42.33651,67711
-71.140106,42.348846,Father & Son,1437 Commonwealth Ave,,Brighton,MA,02135,6105,SUFFOLK,-71.140106,42.348846,67717
-71.15136,42.340485,Huntington Market,1795 Commonwealth Ave,,Brighton,MA,02135,4003,SUFFOLK,-71.15136,42.340485,67749
-71.200165,42.510578,SHAW'S SUPERMARKET 495,180A Cambridge St,,Burlington,MA,01803,2919,MIDDLESEX,-71.200165,42.510578,67820
-71.212524,42.473427,Trader Joe's 515,51 Middlesex Tpke,,Burlington,MA,01803,4911,MIDDLESEX,-71.212524,42.473427,67821
-70.663048,41.759346,Ocean State Job Lot 251,3005 Cranberry Hwy,,East Wareham,MA,02538,1354,PLYMOUTH,-70.663048,41.759346,67847
